"","Country","Overall_Score","Electoral_Processand_Pluralism","Functioningof_Government","Politicalparticipation","Politicalculture","Civilliberties","efa","efa_ok","cfa_ok"
"28","Chile",7.92,9.58,7.86,5.56,7.5,9.12,1.19494503950709,8.63856126538389,8.9596932844416
"29","United States",7.85,9.17,6.43,8.89,6.25,8.53,1.17069064687379,8.57378512176899,8.69393730079249
"30","Estonia",7.84,9.58,7.86,6.67,6.88,8.24,1.07715245321667,8.32397291012474,8.54362447536435
"31","Portugal",7.82,9.58,7.14,6.67,6.88,8.82,1.14602485192172,8.50791024704639,8.7921489129828
"32","Czech Republic",7.74,9.58,6.43,6.67,7.5,8.53,1.03831092273199,8.220238935214,8.56453325001547
"33","Botswana",7.73,9.17,6.79,6.67,7.5,8.53,1.05618319784115,8.26797037407949,8.53714762250861
"34","Italy",7.68,9.58,6.43,7.22,7.5,7.65,0.889296228194756,7.82226577628928,8.11422602209996
"35","Cape Verde",7.65,9.17,7,6.67,6.88,8.53,1.06289086849131,8.28588453271977,8.52958927260342
"36","Malta",7.57,9.17,6.79,5.56,8.13,8.24,0.922770467825513,7.91166534141154,8.26512764189422
"37","Greece",7.56,9.58,6.07,6.11,7.5,8.53,0.969674469162539,8.03693173635517,8.44922517590449
"38","Slovenia",7.54,9.58,6.43,7.22,6.25,8.24,0.996800455150485,8.10937703690822,8.39165106362772
"39","Belgium",7.51,9.58,7.86,5,6.88,8.24,0.955570735955049,7.9992649325903,8.33821482950195
"40","Cyprus",7.43,9.17,5.36,7.22,6.88,8.24,0.913682460936613,7.88739402494079,8.21504253236371
"41","Latvia",7.31,9.58,6.07,6.67,6.25,8.53,0.991194771572538,8.09440595228884,8.44826339906909
"42","Malaysia",7.24,9.58,7.86,7.22,6.25,5.29,0.47372332175382,6.7123962909111,6.83974066500633
"43","Lithuania",7.18,9.58,6.07,5.56,5.63,8.53,0.900835162557729,7.85308277841996,8.27709217204495
"44","Trinidad and Tobago",7.16,9.58,7.14,6.11,5.63,7.35,0.770194900821565,7.50418216960851,7.78820356275904
"45","Jamaica",7.13,8.75,7.14,5,6.25,8.53,0.932206308006858,7.93686561535594,8.23142068195046
"46","East Timor",7.06,9.58,5.93,5.56,6.88,7.35,0.655740107511413,7.19850804942075,7.63434502257086
"47","South Africa",7.05,7.42,7.14,8.33,5,7.35,0.869464001526646,7.76929989986931,7.63719008655851
"48","Slovakia",7.03,9.58,6.43,5.56,5.63,7.94,0.801947857250304,7.58898470813928,7.97625366529821
"49","India",6.91,8.67,7.5,7.72,5,6.18,0.632031445190693,7.13518938633884,7.14498302109767
"50","Brazil",6.86,9.58,5.36,6.11,5.63,7.65,0.696861465668406,7.30833075419383,7.73521823042602
"51","Panama",6.85,9.58,6.43,7.22,5,7.65,0.850796998683609,7.71944598370238,7.9745427059346
"52","Suriname",6.82,9.58,6.07,6.11,5,7.35,0.677667556228789,7.25706962994349,7.61500846051825
"53","Argentina",6.81,9.17,5,7.22,5,7.65,0.730110662229051,7.39712929737135,7.71630578613322
"54","Poland",6.8,9.17,6.07,6.67,5.63,6.47,0.529088440468751,6.86025977013139,7.12731760578526
"55","Indonesia",6.71,7.92,7.86,7.22,4.38,6.18,0.595666275625622,7.03806902212518,6.96024457641592
"56","Bulgaria",6.64,9.17,5.36,7.22,5.63,7.06,0.640925162758435,7.15894181482256,7.45066747506015
"57","Philippines",6.56,9.17,5,7.78,4.38,6.76,0.570127822809658,6.96986354230467,7.22670121742353
"58","Namibia",6.52,7,5.36,6.67,5.63,7.94,0.737043401174865,7.41564454532615,7.51030155613633
"59","Croatia",6.5,9.17,6.07,6.11,4.38,6.76,0.531371644304009,6.86635751670335,7.15928647812824
"60","Ghana",6.5,8.33,5.36,6.67,6.25,5.88,0.336447357793491,6.34577372934837,6.57189733997487
"61","Hungary",6.5,8.33,6.43,5,6.25,6.76,0.486747756755546,6.74718061575197,7.02243971196295
"62","Colombia",6.48,9.17,5.71,6.11,3.75,7.65,0.685008249729524,7.27667440107199,7.60150107713882
"63","Dominican Republic",6.45,9.17,5,6.67,4.38,7.06,0.553767128668512,6.9261690788172,7.26674774074591
"64","Romania",6.43,9.17,6.07,6.11,3.75,7.06,0.586120944422099,7.01257633079131,7.30066257039208
"65","Mongolia",6.42,8.75,5.71,6.11,5.63,5.88,0.323460121422684,6.3110887507948,6.58912867461107
"66","Serbia",6.36,8.25,5.36,6.67,3.75,7.06,0.549505711940125,6.91478812419284,7.11234472637272
"67","Lesotho",6.3,9.17,4.14,6.11,5.63,6.47,0.338922925360173,6.35238522123985,6.80953102390758
"68","Guyana",6.25,6.92,6.07,5.56,5.63,7.06,0.520183926198384,6.83647850692192,6.93297869728357
"69","Singapore",6.23,4.83,8.21,4.44,7.5,6.18,0.393089659229829,6.49704817715629,6.28146430694992
"70","Sri Lanka",6.14,7,5.71,5.56,6.25,6.18,0.31475872101039,6.28784994324025,6.41763755220318
"71","Albania",6.11,7,6.43,4.44,5.63,7.06,0.468460728035939,6.6983414954928,6.8560498243104
"72","Moldova",6.1,7,5.71,6.67,4.38,6.76,0.491378568944902,6.75954811387763,6.79106501967248
"73","Papua New Guinea",6.1,6.92,6.07,3.89,6.25,7.35,0.470452753611935,6.70366159304156,6.9329009255031
"74","Peru",6.09,8.75,5.36,5.56,3.75,7.06,0.480882035374219,6.73151504884431,7.06583181586804
"75","Thailand",6.04,7,5,6.67,6.25,5.29,0.149406571088143,5.84624438451391,5.93875761556694
"76","North Macedonia",6.03,7.42,6.43,6.11,3.13,7.06,0.561781239551725,6.94757234400571,6.99739031146022
"77","Montenegro",6.02,7.42,6.43,6.67,3.13,6.47,0.475797315005996,6.71793529932044,6.71900349309705
"79","Bangladesh",5.99,7.42,6.07,5.56,5.63,5.29,0.152110524594618,5.85346582614354,5.98119545256269
"80","Tunisia",5.99,7.5,4.64,7.22,5,5.59,0.218971532344203,6.0320313464476,6.15673079003638
"81","Paraguay",5.86,8.75,5.36,5,3.13,7.06,0.430564309289883,6.59713162805564,6.96231047221175
"82","Malawi",5.74,7,4.29,5,6.25,6.18,0.164070799140637,5.8854081004103,6.16562424354908
"83","El Salvador",5.72,9.17,3.93,5.56,3.75,6.18,0.191371406511987,5.95831976183994,6.43906576260662
"84","Zambia",5.72,7.5,3.64,5,6.88,5.59,0.00889230717817176,5.47097330365913,5.85974591216329
"85","Bhutan",5.71,8.75,6.79,3.33,5,4.71,-0.0563949057842626,5.2966109130188,5.66262612409467
"86","Ecuador",5.71,8.75,5,6.11,2.5,6.18,0.284751189677537,6.20770890699444,6.49925473700614
"87","Madagascar",5.7,7.92,3.57,6.67,5.63,4.71,-0.0730126372078157,5.25222998072664,5.54394324194448
"88","Fiji",5.61,6.58,5,5.56,5.63,5.29,0.0488089383080173,5.57757854707966,5.69197223109003
"89","Hong Kong",5.6,2.75,3.64,5.56,7.5,8.53,0.575043698084203,6.98299235767396,6.83855476355797
"90","Mexico",5.57,6.92,5,6.11,2.5,6.18,0.240142657557229,6.08857301574528,6.16979305096191
"91","Ukraine",5.57,8.25,2.71,7.22,5,5.88,0.150160855452807,5.8482588498139,6.21353978224457
"92","Senegal",5.53,5.67,5.71,4.44,6.25,5.59,0.0740446363777749,5.64497546058326,5.69316625816441
"93","Armenia",5.49,7.5,5,6.11,3.13,5,0.0104750032663955,5.4752002060046,5.61487939818282
"94","Liberia",5.43,7.42,2.71,5.56,5.63,5.29,-0.107977148508233,5.1588503509143,5.54786565250147
"95","Georgia",5.12,7.83,3.57,6.11,3.75,5.29,-0.0203223656883901,5.39294975246665,5.69519929654683
"96","Honduras",5.1,8.75,3.93,4.44,2.5,5.88,0.0158928277050536,5.48966957570702,5.97927389663911
"97","Tanzania",5.1,4.83,5,5,6.25,4.41,-0.21412817976198,4.87535306655343,4.82471771158184
"98","Kenya",5.05,3.5,5.36,6.67,5.63,4.12,-0.168950879361823,4.99600796577512,4.63177884429223
"99","Bosnia and Herzegovina",5.04,7,3.29,5.56,3.75,5.29,-0.102270506437464,5.17409106511909,5.44201061868387
"100","Morocco",5.04,5.25,4.64,5.56,5.63,4.12,-0.262837319910136,4.74526569206014,4.71745168333624
"101","Sierra Leone",4.97,6.58,2.86,3.89,6.25,5.29,-0.22887604754677,4.83596597424053,5.2452142345024
"102","Bolivia",4.65,4.75,4.29,6.11,2.5,5.88,0.0678360931294374,5.62839432020288,5.51097690248166
"103","Guatemala",4.62,6.92,3.93,3.89,2.5,5.88,-0.0687575873457267,5.26359393137766,5.58216232722702
"104","Uganda",4.48,3.42,3.21,3.89,6.88,5,-0.331413452228626,4.56211959301009,4.58595602136485
"105","Gambia",4.41,3.58,4.29,4.44,5.63,4.12,-0.412177952780156,4.34642205047385,4.2338971072731
"106","Nepal",4.41,4.83,5,4.44,2.5,5.29,-0.123590363726568,5.11715217745087,5.0642699673699
