DepaProvDIST,idh,esperanza,secundaria,tiempoedu,percapitaf
ANCASH_MARISCAL LUZURIAGA_LLAMA,0.34,68.19,42.88,6.43,383.40
ANCASH_MARISCAL LUZURIAGA_LLUMPA,0.16,74.07,29.77,3.38,102.50
ANCASH_MARISCAL LUZURIAGA_LUCMA,0.19,74.52,25.95,4.13,136.20
ANCASH_MARISCAL LUZURIAGA_MUSGA,0.34,68.69,27.36,7.23,435.90
ANCASH_MARISCAL LUZURIAGA_PISCOBAMBA,0.36,68.63,49.20,7.86,368.80
ANCASH_OCROS_ACAS,0.37,78.06,37.66,8.97,360.30
ANCASH_OCROS_CAJAMARQUILLA,0.40,79.59,80.00,7.20,346.50
ANCASH_OCROS_CARHUAPAMPA,0.37,77.70,63.64,7.24,333.20
ANCASH_OCROS_COCHAS,0.42,78.72,57.14,7.01,475.80
ANCASH_OCROS_CONGAS,0.30,74.55,41.82,6.33,245.90
ANCASH_OCROS_LLIPA,0.32,79.79,84.62,7.37,194.90
ANCASH_OCROS_OCROS,0.35,76.78,44.56,7.16,341.30
ANCASH_OCROS_SAN CRISTOBAL DE RAJAN,0.35,78.86,60.00,6.25,301.30
ANCASH_OCROS_SAN PEDRO,0.40,76.67,50.03,8.23,433.10
ANCASH_OCROS_SANTIAGO DE CHILCAS,0.29,78.55,33.62,5.84,255.40
ANCASH_PALLASCA_BOLOGNESI,0.33,64.11,57.14,6.29,360.30
ANCASH_PALLASCA_CABANA,0.32,63.53,42.99,7.36,354.60
ANCASH_PALLASCA_CONCHUCOS,0.23,66.75,23.22,5.52,200.50
ANCASH_PALLASCA_HUACASCHUQUE,0.27,64.96,25.17,5.45,316.50
ANCASH_PALLASCA_HUANDOVAL,0.32,62.74,46.76,7.58,315.80
ANCASH_PALLASCA_LACABAMBA,0.31,64.47,50.06,6.53,314.20
ANCASH_PALLASCA_LLAPO,0.30,65.26,50.10,6.70,278.20
ANCASH_PALLASCA_PALLASCA,0.27,66.07,46.41,5.89,232.40
ANCASH_PALLASCA_PAMPAS,0.27,64.97,42.58,6.12,238.00
ANCASH_PALLASCA_SANTA ROSA,0.36,66.18,72.73,5.98,385.60
ANCASH_PALLASCA_TAUCA,0.29,67.08,46.62,6.06,255.30
ANCASH_POMABAMBA_HUAYLLAN,0.27,75.28,26.82,5.18,271.50
ANCASH_POMABAMBA_PAROBAMBA,0.15,75.01,21.38,3.20,102.60
ANCASH_POMABAMBA_POMABAMBA,0.34,74.67,36.03,6.46,361.00
ANCASH_POMABAMBA_QUINUABAMBA,0.16,72.27,21.68,2.85,127.70
ANCASH_RECUAY_CATAC,0.38,69.42,47.58,7.65,435.50
ANCASH_RECUAY_COTAPARACO,0.32,66.74,20.35,8.41,407.90
ANCASH_RECUAY_HUAYLLAPAMPA,0.26,68.83,21.36,6.37,253.00
ANCASH_RECUAY_LLACLLIN,0.29,67.18,63.64,7.66,210.40
ANCASH_RECUAY_MARCA,0.36,66.71,66.67,6.82,386.40
ANCASH_RECUAY_PAMPAS CHICO,0.37,69.88,81.63,7.88,309.30
ANCASH_RECUAY_PARARIN,0.26,66.27,56.25,6.51,187.30
ANCASH_RECUAY_RECUAY,0.37,67.76,54.11,7.79,392.10
