"","regionUbigeo","provinciaUbigeo","PROVINCIA","IDE","identidad","salud","educacion","saneamiento","electrificacion","poblacion","costa","capital","tamano","clustDIV"
"177",220000,220300,"EL DORADO",0.6066,96.8349,7.7403,66.9119,68.0806,58.5684,38152,"NO","NO","Muy pequena",2
"178",220000,220400,"HUALLAGA",0.66,96.7308,11.4771,78.1732,74.7704,61.2204,25357,"NO","NO","Muy pequena",1
"179",220000,220500,"LAMAS",0.6051,96.557,6.3469,72.5867,61.5244,61.297,83825,"NO","NO","Pequena",2
"180",220000,220600,"MARISCAL CACERES",0.6922,96.0263,9.981,85.2023,75.5526,72.7025,51489,"NO","NO","Pequena",1
"181",220000,220700,"PICOTA",0.6884,96.1658,7.8023,82.3184,73.9773,78.7176,42369,"NO","NO","Muy pequena",1
"182",220000,220800,"RIOJA",0.6672,95.4084,10.3815,83.083,58.2882,79.4966,120387,"NO","NO","Mediana",1
"183",220000,220900,"SAN MARTIN",0.8285,98.3258,21.3298,99.5,85.3935,95.5041,179184,"NO","NO","Mediana",1
"184",220000,221000,"TOCACHE",0.6456,94.9457,10.5095,92.4323,43.6077,74.3133,73460,"NO","NO","Pequena",2
"185",230000,230100,"TACNA",0.9104,99.4928,44.7413,90.0518,95.8766,95.2144,302852,"SI","SI","Grande",1
"186",230000,230200,"CANDARAVE",0.6521,99.5,7.1132,90.0467,40.1112,84.534,8435,"NO","NO","Muy pequena",2
"187",230000,230300,"JORGE BASADRE",0.8487,99.5,30.0799,97.3276,83.9754,93.4183,9641,"SI","NO","Muy pequena",1
"188",230000,230400,"TARATA",0.7414,99.3157,22.5366,90.173,68.7254,74.9025,7987,"NO","NO","Muy pequena",1
"189",240000,240100,"TUMBES",0.7622,99.1184,18.382,86.2661,77.6778,87.4196,159548,"SI","SI","Mediana",1
"190",240000,240200,"CONTRALMIRANTE VILLAR",0.6659,99.1872,6.6236,81.4642,59.7919,81.4494,19180,"SI","NO","Muy pequena",1
"191",240000,240300,"ZARUMILLA",0.6849,97.4754,6.9758,81.2087,71.0227,81.1197,49499,"SI","NO","Muy pequena",1
"192",250000,250100,"CORONEL PORTILLO",0.667,97.5922,12.5195,85.4286,42.8511,86.7715,366040,"NO","SI","Grande",2
"193",250000,250200,"ATALAYA",0.4245,84.2895,4.5206,55.4652,13.2425,51.7253,50569,"NO","NO","Pequena",3
"194",250000,250300,"PADRE ABAD",0.5023,97.3087,4.4984,73.2013,13.243,59.8946,56756,"NO","NO","Pequena",3
"195",250000,250400,"PURUS",0.4473,91.9667,15.9542,51.3878,0.2351,53.4704,4251,"NO","NO","Muy pequena",3
